modes,regions,corresponding_freq_in_region_A,sharpness,delta_chi_squares,rate_of_change_of_phase,rate_of_change_of_amplitude
1.3663801684,A,1.36639,3.3011802e+03,1.1267680e+06,1.1340130e-05,2.4619796e-06
0.9819493484,A,0.98196,3.3991389e+03,9.4297376e+05,1.9637719e-05,3.1313110e-05
1.1912141688,A,1.19122,3.4133340e+03,6.0583259e+05,1.6484316e-05,2.2318749e-05
0.4198329410,A,0.41983,3.6044427e+03,3.2904853e+05,7.3436417e-05,4.9787315e-04
1.5821217200,A,1.58212,3.3566551e+03,3.2478713e+05,8.2263661e-06,1.9700063e-05
0.5941899508,A,0.59418,3.1871921e+03,2.9183411e+05,-8.1271372e-05,-1.9536333e-04
0.9916176100,A,0.99161,3.3539242e+03,2.0530060e+05,-8.3546780e-05,-8.0621176e-05
1.4084016386,A,1.40840,3.5412687e+03,1.4205830e+05,-4.4010313e-05,1.5600450e-04
3.5893193116,A,3.58932,3.3644842e+03,1.3492269e+05,2.9227716e-05,1.8725308e-04
0.5515045270,A,0.55152,3.4075301e+03,1.0179883e+05,-2.3107470e-04,1.1134026e-03
44.1709815171,B,4.76798,2.9231094e+03,1.0182688e+05,-6.2267263e-05,-7.9561863e-05
0.5720052809,A,0.57200,3.0149321e+03,8.9225145e+04,-1.5831328e-04,-9.6251781e-04
